sample,Sex,UK_citizen,Residence,Extrovert_introvert,Absorbed,Bored
12,M,Y,UK,Extrovert,Y,N
12,F,N,UK,Extrovert,Y,N
12,F,N,UK,Extrovert,Y,N
12,F,N,UK,Extrovert,Y,Y
12,F,N,UK,Extrovert,Y,Y
12,M,Y,UK,Extrovert,N,N
12,F,N,UK,Introvert,N,Y
12,M,N,UK,Extrovert,Y,N
12,F,N,UK,Extrovert,N,N
12,F,N,UK,Introvert,N,N
12,F,N,UK,Introvert,N,N
13,M,N,UK,Extrovert,Y,N
13,M,N,UK,Introvert,N,Y
13,M,N,UK,Introvert,N,Y
13,F,N,UK,Introvert,Y,N
13,F,N,UK,Introvert,N,Y
13,F,N,UK,Extrovert,N,N
13,F,N,UK,Extrovert,Y,N
13,F,Y,UK,Introvert,Y,N
13,F,N,UK,Extrovert,Y,Y
13,F,N,UK,Introvert,N,Y
13,M,N,UK,Introvert,N,N
13,F,N,UK,Extrovert,N,Y
13,F,N,UK,Extrovert,N,Y
13,F,N,UK,Introvert,N,Y
13,F,N,UK,Introvert,Y,N
13,M,N,UK,Introvert,N,N
13,F,N,UK,Introvert,N,N
13,M,Y,UK,Extrovert,Y,Y
13,M,Y,UK,Extrovert,Y,Y
13,F,Y,UK,Extrovert,Y,Y
13,F,N,UK,Introvert,Y,Y
13,F,N,UK,Introvert,,Y
13,M,Y,UK,Extrovert,Y,N
13,F,N,UK,,N,N
13,F,N,UK,Extrovert,Y,N
13,F,Y,UK,Introvert,Y,N
13,F,N,UK,Introvert,N,N
13,F,N,UK,Introvert,N,N
13,M,N,UK,Introvert,,N
13,M,Y,UK,Extrovert,Y,Y
13,M,N,UK,Extrovert,Y,Y
13,F,Y,UK,Introvert,Y,Y
13,M,N,UK,Introvert,Y,Y
13,M,N,UK,Extrovert,,Y
13,F,N,UK,Introvert,Y,N
13,F,Y,UK,Extrovert,N,N
13,F,N,UK,Introvert,N,N
13,M,N,UK,Extrovert,N,Y
13,F,N,UK,Extrovert,N,N
13,M,N,UK,,Y,Y
13,F,N,UK,Introvert,Y,N
13,F,N,UK,Extrovert,Y,Y
13,M,Y,UK,Extrovert,N,Y
13,M,N,UK,Extrovert,Y,N
13,M,Y,UK,Extrovert,N,N
14,F,N,UK,Extrovert,N,Y
14,M,Y,UK,Introvert,Y,N
14,M,N,UK,Extrovert,Y,N
14,M,N,UK,Introvert,Y,N
14,M,Y,UK,Extrovert,Y,Y
14,F,N,UK,Extrovert,N,Y
14,M,Y,UK,Introvert,N,Y
14,M,N,UK,Introvert,Y,N
14,M,N,UK,,N,Y
14,F,N,UK,Extrovert,N,N
14,M,Y,UK,Extrovert,Y,N
14,F,N,UK,,Y,N
14,M,Y,UK,Introvert,Y,Y
14,M,Y,UK,Extrovert,Y,N
14,M,Y,UK,Introvert,Y,N
14,F,N,UK,Introvert,,N
14,F,N,UK,Extrovert,N,Y
14,F,Y,UK,Extrovert,Y,Y
14,F,N,UK,Extrovert,N,Y
14,F,Y,UK,Introvert,N,N
14,F,Y,UK,Extrovert,Y,Y
15,M,Y,UK,Extrovert,Y,Y
15,M,Y,UK,Introvert,Y,Y
15,M,Y,UK,Introvert,Y,Y
15,M,N,UK,Introvert,Y,Y
15,M,Y,UK,Extrovert,Y,N
15,M,N,UK,Extrovert,Y,N
15,F,N,UK,Extrovert,N,N
15,M,Y,UK,Introvert,N,Y
15,M,Y,UK,Extrovert,Y,N
16,M,Y,UK,Introvert,N,N
16,M,N,UK,Introvert,Y,Y
16,M,N,UK,Extrovert,N,Y
16,M,N,UK,Introvert,N,N
16,M,Y,UK,Introvert,N,Y
16,M,Y,UK,Introvert,Y,Y
16,M,Y,UK,Introvert,Y,N
16,M,N,UK,Introvert,Y,N
16,M,N,UK,Extrovert,Y,N
16,M,Y,UK,Extrovert,Y,Y
16,M,N,UK,Introvert,,Y
16,M,Y,UK,Extrovert,Y,Y
