Total_happiness,Height,Weight,Age,Difficulty_score_1,Difficulty_score_2,BMI,sample
17,1.76,70.8,18,120,100,22.856,8
17,1.75,57.2,19,110,100,18.677,8
17,1.72,70,28,75,75,23.661,8
17,1.67,57,19,125,120,20.438,8
18,1.57,63.5,19,125,125,25.761,8
18,1.82,83,23,125,100,25.057,8
18,1.51,47.59,19,125,125,20.871,8
18,1.77,67.09,19,125,100,21.414,8
18,1.7,59,23,100,100,20.415,8
19,1.7,57.2,18,150,140,19.792,8
19,1.85,79.3,19,130,120,23.17,8
19,1.83,83,28,125,125,24.784,8
19,1.83,85.3,19,100,125,25.471,8
19,1.79,69.9,18,100,80,21.815,8
19,1.57,52.59,18,110,100,21.335,8
20,1.6,53.09,18,125,125,20.738,8
20,1.67,58.09,18,150,125,20.829,8
20,1.79,54.4,18,95,90,16.978,8
20,1.67,65.09,21,100,100,23.338,8
21,1.59,80,25,125,125,31.644,8
21,1.77,64.4,18,50,50,20.556,8
21,1.75,60,19,150,150,19.591,8
21,1.7,58.5,20,100,100,20.242,8
22,1.87,64.4,18,85,85,18.416,8
22,1.77,77.59,19,150,125,24.766,8
22,1.6,56,19,125,150,21.875,8
22,1.6,54.4,19,125,100,21.25,8
22,1.53,54,22,100,75,23.068,8
23,1.85,73.19,18,100,100,21.384,8
23,1.5,45.4,19,100,100,20.177,8
23,1.64,66.09,18,150,115,24.572,8
23,1.79,78,29,135,130,24.343,8
23,1.67,53.5,36,145,135,19.183,8
24,1.79,60,21,130,120,18.726,8
6,1.6,63,33,90,110,24.609,9
6,1.72,62.59,22,100,75,21.156,9
6,1.57,63.5,23,150,149,25.761,9
9,1.77,82.59,19,75,60,26.362,9
11,1.57,62.09,20,150,140,25.189,9
11,1.77,63.5,19,100,100,20.268,9
11,1.83,63.5,20,150,150,18.961,9
11,1.62,88.9,32,125,125,33.874,9
12,1.82,78.9,18,137,130,23.819,9
12,1.77,89,19,110,100,28.408,9
12,1.83,60.29,19,75,80,18.002,9
12,1.6,54,19,140,135,21.093,9
12,1.7,44,19,125,120,15.224,9
13,1.72,61.2,19,130,129,20.686,9
13,1.85,66.69,20,125,100,19.485,9
13,1.87,82.59,21,125,125,23.618,9
13,1.83,88.9,19,125,100,26.546,9
13,1.64,63.5,27,90,90,23.609,9
13,1.54,72.09,20,130,120,30.397,9
13,1.67,76.19,18,125,115,27.319,9
14,1.6,47.59,25,125,125,18.589,9
14,1.67,67.09,36,90,90,24.056,9
14,1.77,64.9,20,125,110,20.715,9
14,1.79,100.69,21,125,100,31.425,9
14,1.62,64.4,19,125,125,24.538,9
14,1.51,50.79,20,150,150,22.275,9
15,1.57,54,19,80,80,21.907,9
15,1.87,82.59,19,100,100,23.618,9
15,1.69,66.3,20,130,120,23.213,9
15,1.69,65.5,20,110,60,22.933,9
15,1.69,64.4,19,75,75,22.548,9
15,1.85,61.2,19,150,150,17.881,9
15,1.62,50,20,125,125,19.051,9
15,1.62,52.59,18,150,150,20.038,9
15,1.64,67.09,19,130,110,24.944,9
15,1.6,55,18,125,115,21.484,9
15,1.62,74.8,18,130,110,28.501,9
16,1.67,56.7,19,125,110,20.33,9
16,1.83,80.19,20,125,100,23.945,9
16,1.64,59.4,20,125,120,22.085,9
16,1.83,76.19,19,140,140,22.75,9
16,1.75,80.19,37,90,90,26.184,9
16,1.64,52,23,150,110,19.333,9
16,1.62,77.09,19,120,110,29.374,9
16,1.57,59.9,20,125,125,24.301,9
17,1.62,69.4,,125,100,26.444,9
17,1.62,60.79,22,101,80,23.163,9
17,1.87,90,23,120,120,25.737,9
17,1.85,93,20,91,90,27.173,9
18,1.9,87.8,19,125,115,24.321,9
18,1.64,65.8,19,105,90,24.464,9
18,1.72,66.69,19,125,100,22.542,9
18,1.96,76.19,19,125,115,19.832,9
18,1.75,57.2,18,120,110,18.677,9
18,1.62,55.5,19,50,100,21.147,9
18,1.63,63.5,47,130,100,23.9,9
19,1.67,57.2,19,125,110,20.509,9
19,1.7,59.9,20,110,115,20.726,9
19,1.79,66.69,20,115,120,20.813,9
19,1.65,66.69,20,101,100,24.495,9
19,1.83,85,19,100,100,25.381,9
19,1.72,68,21,125,125,22.985,9
19,1.62,52,27,133,133,19.814,9
20,1.87,77.09,18,75,75,22.045,9
20,1.72,58.09,26,126,116,19.635,9
20,1.51,48.5,18,85,80,21.27,9
20,1.86,91.59,23,100,75,26.474,9
21,1.6,56.7,20,115,110,22.148,9
21,1.67,59,22,125,100,21.155,9
21,1.64,53.5,18,125,125,19.891,9
22,1.77,58.5,20,135,110,18.672,9
22,1.71,66.19,19,125,110,22.636,9
23,1.72,50.79,20,90,125,17.168,9
23,1.57,55.29,20,90,85,22.43,9
23,1.83,72.59,18,75,100,21.675,9
23,1.73,60,20,100,50,20.047,9
24,1.67,69.9,19,125,125,25.063,9
25,1.82,66.69,19,110,90,20.133,9
25,1.6,53.5,19,125,125,20.898,9
25,1.67,59.9,20,150,150,21.478,9
26,1.67,56.5,41,120,120,20.258,9
27,1.67,59.9,20,125,125,21.478,9
