Date,Symbols,Close,High,Low,Open,Volume
2020-07-07,AMZN,150.006,153.478,149.5,152.928,105150280.0
2020-07-07,GOOGL,1489.92,1521.32,1489.7,1496.13,2118194.0
2020-07-07,PFE,31.6023,31.8999,31.5319,31.6211,25693050.539379
2020-07-07,BNTX,69.34,70.89,63.51,64.0,2264397.0
2020-07-07,MRNA,61.09,61.5,57.44,58.8,8904341.0
2020-07-08,AMZN,154.056,154.198,150.622,151.13,100752700.0
2020-07-08,GOOGL,1503.6,1511.17,1492.3,1500.8,1588292.0
2020-07-08,PFE,31.3424,31.9167,31.1748,31.5824,24782322.681103
2020-07-08,BNTX,67.56,68.58,66.46,67.21,1449603.0
2020-07-08,MRNA,61.58,62.46,59.45,60.79,7590861.0
2020-07-09,AMZN,159.132,159.694,153.7,155.8,127773180.0
2020-07-09,GOOGL,1518.66,1529.1412,1495.59,1509.93,2091833.0
2020-07-09,PFE,31.0726,31.4614,30.7393,31.3236,20805118.158304
2020-07-09,BNTX,65.61,68.0,64.51,66.61,1186732.0
2020-07-09,MRNA,64.97,65.35,58.88,62.09,20646142.0
2020-07-10,AMZN,160.0,160.75,156.785,159.588,109719640.0
2020-07-10,GOOGL,1539.01,1541.34,1500.72,1513.25,1796063.0
2020-07-10,PFE,31.4158,31.6122,31.0954,31.2581,24989195.067436
2020-07-10,BNTX,70.36,71.2899,67.0,67.0,2874259.0
2020-07-10,MRNA,62.61,64.93,62.32,64.65,7407545.0
2020-07-13,AMZN,155.2,167.214,153.42,162.553,154408400.0
2020-07-13,GOOGL,1512.23,1576.36,1506.56,1549.94,2147728.0
2020-07-13,PFE,32.6974,33.1705,32.0556,32.252,57795213.250811
2020-07-13,BNTX,77.78,84.89,75.75,78.47,8529557.0
2020-07-13,MRNA,71.78,77.7499,63.8,63.89,56617291.0
2020-07-14,AMZN,154.2,156.369,147.5,154.45,144638660.0
2020-07-14,GOOGL,1520.86,1522.8,1485.925,1492.79,1905400.0
2020-07-14,PFE,32.7152,32.8928,32.3899,32.8451,33566226.492217
2020-07-14,BNTX,83.88,85.0,78.0,82.57,4748726.0
2020-07-14,MRNA,75.04,76.9486,70.6201,74.0,38708760.0
2020-07-15,AMZN,150.444,154.918,148.659,154.012,115777480.0
2020-07-15,GOOGL,1516.88,1536.33,1497.83,1523.23,1551325.0
2020-07-15,PFE,33.1705,33.4314,32.9384,33.4214,26864412.662682
2020-07-15,BNTX,78.0,87.58,76.8,86.08,3908683.0
2020-07-15,MRNA,80.22,88.37,78.01,87.52,90756071.0
2020-07-16,AMZN,149.995,151.6,145.912,148.553,127884920.0
2020-07-16,GOOGL,1514.92,1515.91,1488.27,1501.5,1324227.0
2020-07-16,PFE,33.0584,33.0971,32.739,33.0584,18821119.636456
2020-07-16,BNTX,75.87,80.5,74.56,80.5,2847924.0
2020-07-16,MRNA,81.81,84.2899,79.6,80.1598,27277409.0
2020-07-17,AMZN,148.098,151.2,147.422,150.45,95226380.0
2020-07-17,GOOGL,1516.85,1523.43,1498.1,1516.91,1713231.0
2020-07-17,PFE,33.6645,33.7369,33.1755,33.3014,23872980.027719
2020-07-17,BNTX,85.25,86.4,76.42,76.54,5053511.0
2020-07-17,MRNA,94.85,95.21,82.61,83.35,103509162.0
2020-07-20,AMZN,159.842,160.068,149.701,150.01,151963520.0
2020-07-20,GOOGL,1563.84,1569.01,1502.6961,1515.0,1508277.0
2020-07-20,PFE,33.8956,34.9351,33.727,34.8151,37613608.68066
2020-07-20,BNTX,88.2,96.0899,85.77,91.7465,7790762.0
2020-07-20,MRNA,82.68,90.85,78.05,87.86,78391296.0
2020-07-21,AMZN,156.914,162.029,155.286,161.624,122699300.0
2020-07-21,GOOGL,1555.92,1587.05,1552.62,1585.03,1377718.0
2020-07-21,PFE,34.0721,34.4322,33.9144,34.3033,24159480.524142
2020-07-21,BNTX,91.6,97.82,90.05,92.0,6034451.0
2020-07-21,MRNA,80.86,82.43,79.07,80.91,26185580.0
2020-07-22,AMZN,154.996,157.5,153.263,156.25,82084500.0
2020-07-22,GOOGL,1564.85,1566.98,1543.23,1555.71,1224100.0
2020-07-22,PFE,35.809,35.9657,34.8429,35.5015,92671504.831667
2020-07-22,BNTX,104.17,104.99,93.65,99.19,13817768.0
2020-07-22,MRNA,83.225,84.12,79.11,79.61,27274018.0
2020-07-23,AMZN,149.328,154.914,148.5,154.914,113138120.0
2020-07-23,GOOGL,1516.75,1570.35,1508.59,1565.93,1695498.0
2020-07-23,PFE,35.6701,36.6065,35.4549,36.4309,60932220.435208
2020-07-23,BNTX,88.51,101.15,87.0,97.5135,15899745.0
2020-07-23,MRNA,75.33,82.68,72.2,82.05,29288088.0
2020-07-24,AMZN,150.445,151.579,144.4,146.5,112648260.0
2020-07-24,GOOGL,1508.21,1515.4273,1487.59,1499.19,1495381.0
2020-07-24,PFE,34.9718,35.4271,34.6613,35.316,34604604.91318
2020-07-24,BNTX,84.17,86.7,80.34,86.3,7109730.0
2020-07-24,MRNA,73.21,73.9,66.54,69.05,27797477.0
2020-07-27,AMZN,152.76,154.9,150.788,153.1,83409840.0
2020-07-27,GOOGL,1529.43,1537.56,1512.33,1513.26,1356185.0
2020-07-27,PFE,34.8617,35.0561,34.5741,34.6941,28239416.035724
2020-07-27,BNTX,86.53,88.2,81.7744,87.44,5129152.0
2020-07-27,MRNA,79.91,80.98,76.16,80.63,44710713.0
2020-07-28,AMZN,150.016,153.855,149.788,152.714,62533020.0
2020-07-28,GOOGL,1503.65,1526.01,1500.52,1525.0,1545534.0
2020-07-28,PFE,36.2355,36.5271,35.3448,35.7891,57616199.210042
2020-07-28,BNTX,85.38,90.4,84.1,89.0,5108614.0
2020-07-28,MRNA,81.49,83.85,79.5,81.0,32946885.0
2020-07-29,AMZN,151.676,151.958,149.838,151.55,59481200.0
2020-07-29,GOOGL,1523.51,1533.33,1503.01,1505.0,1133773.0
2020-07-29,PFE,36.4597,36.6342,35.7058,36.4954,37836345.393191
2020-07-29,BNTX,82.5,86.79,80.02,85.54,3846336.0
2020-07-29,MRNA,79.51,82.82,76.5502,81.98,24453924.0
2020-07-30,AMZN,152.594,154.6,150.25,150.7,122565300.0
2020-07-30,GOOGL,1538.37,1540.89,1495.17,1497.97,1802121.0
2020-07-30,PFE,36.3277,36.5142,35.8219,35.8953,32654199.122218
2020-07-30,BNTX,84.16,84.88,78.0,79.05,3302751.0
2020-07-30,MRNA,77.63,79.25,76.8,78.0,13101985.0
2020-07-31,AMZN,158.234,162.341,157.55,162.2,161667380.0
2020-07-31,GOOGL,1487.95,1505.02,1454.0,1497.05,4576382.0
2020-07-31,PFE,36.0818,36.3367,35.5015,36.2613,28838916.381269
2020-07-31,BNTX,82.11,86.95,80.85,86.0,2642973.0
2020-07-31,MRNA,74.1,78.44,73.6038,78.2,14223411.0
2020-08-03,AMZN,155.594,159.2,155.2,159.026,101493260.0
2020-08-03,GOOGL,1482.76,1497.73,1471.72,1491.0,2276085.0
2020-08-03,PFE,35.9607,36.2524,35.8338,36.2048,31402213.839896
2020-08-03,BNTX,85.47,85.48,81.84,82.99,2434416.0
2020-08-03,MRNA,77.98,77.99,73.03,74.98,13382327.0
2020-08-04,AMZN,156.942,158.362,155.06,155.06,93885880.0
2020-08-04,GOOGL,1473.3,1493.11,1464.03,1486.71,1860609.0
2020-08-04,PFE,35.9984,36.2702,35.7177,35.925,29795620.137607
2020-08-04,BNTX,83.17,84.5,81.08,84.44,2410338.0
2020-08-04,MRNA,78.46,78.62,75.5,78.192,10126500.0
2020-08-05,AMZN,160.252,160.679,156.365,157.188,78600500.0
2020-08-05,GOOGL,1479.09,1490.0,1471.215,1476.82,1457518.0
2020-08-05,PFE,36.056,36.1314,35.7554,36.0728,24894797.487419
2020-08-05,BNTX,81.3,83.2,76.845,82.82,4085523.0
