Total_happiness,Sex,UK_student,Extrovert_introvert,Absorbed,Bored,sample
9,F,Y,Extrovert,N,Y,6
10,F,Y,Introvert,Y,Y,6
11,M,Y,Introvert,N,N,6
12,M,N,Introvert,Y,Y,6
12,M,Y,Introvert,N,Y,6
12,M,Y,Introvert,Y,N,6
12,M,Y,Introvert,N,N,6
13,F,Y,Extrovert,Y,Y,6
13,M,Y,Introvert,Y,Y,6
13,M,Y,Introvert,Y,Y,6
13,F,Y,Extrovert,N,Y,6
13,M,Y,Introvert,N,Y,6
13,M,Y,Introvert,N,Y,6
13,M,Y,Extrovert,Y,N,6
13,F,Y,Introvert,Y,N,6
13,M,Y,Extrovert,N,N,6
14,F,Y,Introvert,Y,Y,6
14,F,Y,Introvert,Y,Y,6
14,F,Y,Introvert,N,Y,6
14,M,Y,Introvert,Y,N,6
14,M,Y,,N,N,6
15,M,Y,Extrovert,Y,Y,6
15,F,Y,Extrovert,Y,Y,6
15,F,Y,Introvert,Y,Y,6
15,F,Y,Extrovert,N,Y,6
15,F,Y,Extrovert,N,Y,6
15,F,Y,Introvert,N,Y,6
15,M,Y,Introvert,Y,N,6
15,F,Y,Introvert,Y,N,6
15,F,Y,Extrovert,N,N,6
15,F,Y,Extrovert,,N,6
16,M,Y,Extrovert,Y,Y,6
16,M,Y,Extrovert,Y,Y,6
16,F,Y,Extrovert,Y,Y,6
16,F,Y,Extrovert,Y,Y,6
16,M,N,Introvert,Y,Y,6
16,M,Y,Extrovert,N,Y,6
16,M,Y,Introvert,N,Y,6
16,F,Y,Introvert,Y,N,6
16,F,Y,Introvert,Y,N,6
16,F,Y,Extrovert,N,N,6
16,M,Y,,N,N,6
17,F,Y,Extrovert,Y,Y,6
17,F,Y,Extrovert,Y,Y,6
17,M,Y,Introvert,Y,Y,6
17,F,Y,Extrovert,N,Y,6
17,M,Y,Introvert,N,Y,6
17,F,Y,Introvert,Y,N,6
17,F,Y,Introvert,Y,N,6
18,F,Y,Extrovert,Y,Y,6
18,M,Y,Introvert,Y,Y,6
18,M,Y,Introvert,Y,Y,6
18,M,Y,Introvert,N,Y,6
18,F,Y,Introvert,Y,N,6
19,M,Y,Extrovert,Y,Y,6
19,F,Y,Extrovert,Y,Y,6
19,F,N,Introvert,Y,Y,6
19,M,Y,Extrovert,N,Y,6
19,F,Y,Extrovert,N,Y,6
19,F,N,Extrovert,N,Y,6
19,M,Y,Introvert,N,Y,6
19,F,Y,Extrovert,Y,N,6
19,F,N,Extrovert,Y,N,6
20,F,Y,Introvert,N,Y,6
20,M,Y,Extrovert,Y,N,6
20,F,Y,Extrovert,Y,N,6
20,F,Y,Extrovert,Y,N,6
21,M,Y,Extrovert,Y,Y,6
21,M,Y,Introvert,Y,Y,6
21,M,Y,Introvert,Y,Y,6
21,M,Y,Introvert,Y,Y,6
21,F,Y,,Y,Y,6
21,F,Y,Extrovert,Y,N,6
21,F,N,Introvert,Y,N,6
21,F,N,Introvert,Y,N,6
22,F,Y,Extrovert,Y,Y,6
22,F,N,Introvert,Y,Y,6
22,F,Y,Introvert,N,Y,6
22,F,Y,Extrovert,Y,N,6
23,F,Y,Extrovert,Y,Y,6
23,F,Y,Extrovert,Y,Y,6
23,M,Y,Introvert,Y,Y,6
23,F,Y,Introvert,Y,Y,6
23,F,N,Extrovert,Y,N,6
23,F,N,Extrovert,Y,N,6
24,F,Y,Extrovert,Y,N,6
25,M,Y,Extrovert,Y,Y,6
25,M,Y,Extrovert,Y,Y,6
26,F,Y,Introvert,Y,Y,6
26,F,Y,Extrovert,N,Y,6
27,F,Y,Introvert,Y,Y,6
12,F,Y,Extrovert,Y,Y,7
12,F,Y,Introvert,N,N,7
13,F,N,Introvert,Y,N,7
14,M,Y,Extrovert,Y,Y,7
14,M,Y,Introvert,Y,Y,7
14,F,Y,Extrovert,Y,N,7
14,F,N,Extrovert,Y,N,7
14,F,N,Introvert,N,N,7
15,M,Y,Introvert,Y,N,7
15,F,Y,Introvert,Y,N,7
16,F,Y,Extrovert,N,Y,7
16,M,Y,Extrovert,Y,N,7
16,M,Y,Extrovert,Y,N,7
16,M,Y,Introvert,Y,N,7
18,F,Y,Extrovert,Y,N,7
18,F,Y,Extrovert,N,N,7
18,F,N,Extrovert,N,N,7
19,M,Y,Extrovert,Y,Y,7
19,M,N,Introvert,N,Y,7
20,F,Y,Introvert,Y,Y,7
20,F,Y,Extrovert,N,Y,7
20,F,Y,Introvert,Y,N,7
21,M,Y,Extrovert,Y,Y,7
22,M,Y,Extrovert,Y,Y,7
22,M,Y,Introvert,Y,Y,7
24,F,N,Introvert,Y,N,7
26,M,N,Extrovert,Y,Y,7
6,M,Y,Introvert,Y,Y,8
7,F,N,Introvert,N,Y,8
8,M,Y,Introvert,Y,Y,8
9,F,Y,Introvert,Y,N,8
13,M,Y,Extrovert,Y,Y,8
13,F,Y,Extrovert,Y,Y,8
13,F,Y,Introvert,Y,Y,8
13,M,Y,Extrovert,Y,N,8
13,F,Y,Introvert,Y,N,8
14,M,Y,Extrovert,Y,Y,8
14,F,Y,Extrovert,Y,Y,8
14,F,Y,Introvert,Y,Y,8
14,F,Y,Introvert,Y,Y,8
14,M,Y,Extrovert,N,Y,8
14,M,Y,Extrovert,Y,N,8
14,M,Y,Introvert,Y,N,8
14,M,Y,Introvert,N,N,8
15,M,N,Extrovert,Y,Y,8
15,M,Y,Introvert,N,Y,8
15,F,N,Extrovert,Y,N,8
15,F,Y,Introvert,N,N,8
16,M,Y,Extrovert,Y,Y,8
16,M,Y,Introvert,N,Y,8
17,F,N,Extrovert,Y,Y,8
17,M,Y,Introvert,Y,Y,8
17,M,Y,Introvert,Y,N,8
17,M,N,Introvert,Y,N,8
17,F,N,Introvert,N,N,8
18,F,Y,Extrovert,Y,Y,8
18,M,N,Extrovert,Y,Y,8
18,F,Y,Introvert,Y,Y,8
18,F,Y,Introvert,Y,Y,8
18,F,N,Introvert,Y,Y,8
19,F,Y,Extrovert,Y,Y,8
19,M,Y,Introvert,Y,Y,8
19,M,Y,Introvert,Y,Y,8
19,M,Y,Introvert,Y,Y,8
