Total_happiness,Height,Weight,Age,BMI,sample
13,1.87,90.3,19,25.822,6
13,1.7,69.9,19,24.186,6
13,1.83,75.8,19,22.634,6
14,1.62,,18,,6
14,1.64,,21,,6
14,1.75,74.8,22,24.424,6
14,1.87,69.9,19,19.989,6
14,1.85,80,20,23.374,6
15,1.85,73.5,24,21.475,6
15,1.62,50.79,19,19.352,6
15,1.64,54,19,20.077,6
15,1.62,65.3,18,24.881,6
15,1.77,99.8,19,31.855,6
15,1.67,,19,,6
15,1.85,85.69,19,25.037,6
15,1.57,68.5,21,27.79,6
15,1.72,68,20,22.985,6
15,1.71,63.5,33,21.716,6
16,1.73,75.9,19,25.36,6
16,1.87,97.3,19,27.824,6
16,1.67,48.09,18,17.243,6
16,1.67,63.5,19,22.768,6
16,1.89,83,24,23.235,6
16,1.79,63.5,20,19.818,6
16,1.77,70,24,22.343,6
16,1.67,54,21,19.362,6
16,1.67,55,20,19.721,6
16,1.72,68.19,30,23.049,6
16,1.79,82.59,19,25.776,6
17,1.67,46.5,18,16.673,6
17,1.7,60.29,19,20.861,6
17,1.77,86.19,26,27.511,6
17,1.66,55.29,20,20.064,6
17,1.77,64.4,20,20.556,6
17,1.62,42.2,19,16.079,6
17,1.64,60.79,19,22.601,6
18,1.64,63.59,25,23.642,6
18,1.6,57.2,20,22.343,6
18,1.77,59.9,20,19.119,6
18,1.77,81.3,19,25.95,6
18,1.67,70,28,25.099,6
19,1.84,80,20,23.629,6
19,1.77,65.8,20,21.002,6
19,1.62,53,23,20.195,6
19,1.85,85.19,20,24.891,6
19,1.6,57.2,19,22.343,6
19,1.62,58,19,22.1,6
19,1.7,59.4,19,20.553,6
19,1.51,63.5,47,27.849,6
19,1.62,67.09,20,25.563,6
20,1.64,63.5,20,23.609,6
20,1.85,77.09,20,22.524,6
20,1.72,61.7,25,20.855,6
20,1.77,63.5,18,20.268,6
21,1.7,62,19,21.453,6
21,1.72,69.4,25,23.458,6
21,1.75,72.59,19,23.702,6
21,1.85,85,20,24.835,6
21,1.62,63.5,19,24.196,6
21,1.7,54,20,18.685,6
21,1.71,52,23,17.783,6
21,1.64,60.79,18,22.601,6
22,1.6,53,34,20.703,6
22,1.51,72.59,18,31.836,6
22,1.62,56.7,19,21.604,6
22,1.79,67.59,28,21.094,6
23,1.57,51.7,20,20.974,6
23,1.67,,18,,6
23,1.79,75,19,23.407,6
23,1.51,53.59,18,23.503,6
23,1.6,44,25,17.187,6
23,1.63,49,27,18.442,6
24,1.6,53.5,18,20.898,6
25,1.77,87.09,19,27.798,6
25,1.83,,19,,6
26,1.6,56.7,20,22.148,6
26,1.51,57.2,19,25.086,6
27,1.75,74,20,24.163,6
12,1.62,47.59,18,18.133,7
12,1.67,69.9,20,25.063,7
13,1.66,72,20,26.128,7
14,1.87,86,23,24.593,7
14,1.75,63,21,20.571,7
14,1.7,61.7,18,21.349,7
14,1.63,55,19,20.7,7
14,1.69,70,21,24.508,7
15,1.86,64.9,23,18.759,7
15,1.75,59.4,18,19.395,7
16,1.64,60.9,19,22.642,7
16,1.79,85,19,26.528,7
16,1.83,95.3,20,28.457,7
16,1.64,64,20,23.795,7
18,1.62,64.09,19,24.42,7
18,1.57,45.79,18,18.576,7
18,1.64,45,20,16.731,7
19,1.67,65.3,19,23.414,7
19,1.85,76,23,22.205,7
20,1.62,52.59,19,20.038,7
20,1.54,52.2,18,22.01,7
20,1.53,54.2,18,23.153,7
21,1.75,57.59,18,18.804,7
22,1.72,59.4,18,20.078,7
22,1.92,85.3,22,23.139,7
24,1.72,52,32,17.577,7
26,1.7,69.19,19,23.941,7
6,2,88.5,18,22.125,8
7,1.51,63.5,19,27.849,8
8,1.83,66.69,18,19.914,8
9,1.67,74.8,19,26.82,8
13,1.79,74.8,22,23.345,8
13,1.55,51.9,19,21.602,8
13,1.7,65.3,18,22.595,8
13,1.79,58.09,21,18.129,8
13,1.72,63.5,18,21.464,8
14,1.79,58.09,18,18.129,8
14,1.62,54.9,19,20.919,8
14,1.62,43.5,19,16.575,8
14,1.64,57.2,18,21.267,8
14,1.62,57.2,21,21.795,8
14,1.79,68,19,21.222,8
14,1.83,65.8,18,19.648,8
14,1.77,68,19,21.705,8
15,1.77,79,18,25.216,8
15,1.87,72.59,18,20.758,8
15,1.61,55,22,21.218,8
15,1.67,59,19,21.155,8
16,1.73,84.59,19,28.263,8
16,1.87,57.2,18,16.357,8
17,1.9,81.19,20,22.49,8
17,1.76,70.8,18,22.856,8
17,1.75,57.2,19,18.677,8
17,1.72,70,28,23.661,8
17,1.67,57,19,20.438,8
18,1.57,63.5,19,25.761,8
18,1.82,83,23,25.057,8
18,1.51,47.59,19,20.871,8
18,1.77,67.09,19,21.414,8
18,1.7,59,23,20.415,8
19,1.7,57.2,18,19.792,8
19,1.85,79.3,19,23.17,8
19,1.83,83,28,24.784,8
19,1.83,85.3,19,25.471,8
19,1.79,69.9,18,21.815,8
19,1.57,52.59,18,21.335,8
20,1.6,53.09,18,20.738,8
20,1.67,58.09,18,20.829,8
20,1.79,54.4,18,16.978,8
20,1.67,65.09,21,23.338,8
21,1.59,80,25,31.644,8
21,1.77,64.4,18,20.556,8
21,1.75,60,19,19.591,8
21,1.7,58.5,20,20.242,8
22,1.87,64.4,18,18.416,8
22,1.77,77.59,19,24.766,8
22,1.6,56,19,21.875,8
